tx_id,sender,receiver,amount,timestamp,wallet_age_days
TX00001,WALLET_0156,WALLET_0449,19716.58,2026-01-20 03:08:01,138
TX00002,WALLET_0005,WALLET_0477,49.36,2025-12-26 18:41:38,170
TX00003,WALLET_0275,WALLET_0397,15573.88,2026-01-03 16:42:29,170
TX00004,WALLET_0206,WALLET_0153,1585.07,2026-01-07 04:48:23,230
TX00005,WALLET_0359,WALLET_0054,19718.66,2026-01-19 00:03:28,2
TX00006,WALLET_0470,WALLET_0369,2304.8,2026-01-24 05:44:59,10
TX00007,WALLET_0272,WALLET_0249,46.54,2026-01-05 19:08:21,244
TX00008,WALLET_0238,WALLET_0121,13788.4,2026-01-05 05:20:19,163
TX00009,WALLET_0294,WALLET_0315,1852.15,2026-01-16 13:50:52,35
TX00010,WALLET_0255,WALLET_0104,73.65,2026-01-12 12:15:52,13
TX00011,WALLET_0206,WALLET_0289,9464.91,2026-01-19 04:01:54,136
TX00012,WALLET_0238,WALLET_0038,98.97,2026-01-17 04:41:38,12
TX00013,WALLET_0014,WALLET_0366,1238.95,2025-12-31 10:51:34,188
TX00014,WALLET_0489,WALLET_0023,2741.17,2025-12-29 16:59:30,6
TX00015,WALLET_0162,WALLET_0173,9322.69,2026-01-21 21:44:14,127
TX00016,WALLET_0310,WALLET_0438,2967.01,2026-01-10 22:07:12,6
TX00017,WALLET_0174,WALLET_0423,91.02,2026-01-18 04:46:09,3
TX00018,WALLET_0006,WALLET_0371,1336.79,2026-01-17 10:41:06,276
TX00019,WALLET_0332,WALLET_0064,16546.1,2026-01-16 01:55:28,195
TX00020,WALLET_0154,WALLET_0104,12280.91,2026-01-22 18:17:39,232
TX00021,WALLET_0183,WALLET_0268,16213.15,2026-01-20 16:39:14,7
TX00022,WALLET_0488,WALLET_0328,2740.11,2026-01-15 07:01:41,51
TX00023,WALLET_0171,WALLET_0076,9456.17,2026-01-24 23:08:57,15
TX00024,WALLET_0207,WALLET_0129,40.24,2026-01-25 09:12:54,14
TX00025,WALLET_0059,WALLET_0415,45.33,2025-12-26 23:35:17,10
TX00026,WALLET_0459,WALLET_0385,19862.98,2026-01-16 06:08:46,284
TX00027,WALLET_0223,WALLET_0255,1470.5,2026-01-17 03:24:12,7
TX00028,WALLET_0423,WALLET_0426,60.76,2026-01-17 09:42:29,35
TX00029,WALLET_0327,WALLET_0188,1076.53,2026-01-20 09:44:01,230
TX00030,WALLET_0096,WALLET_0422,24.38,2026-01-06 03:41:01,14
TX00031,WALLET_0389,WALLET_0130,2040.44,2026-01-12 07:00:28,81
TX00032,WALLET_0139,WALLET_0161,12140.81,2025-12-30 10:53:05,7
TX00033,WALLET_0191,WALLET_0079,14338.93,2026-01-14 07:35:51,115
TX00034,WALLET_0455,WALLET_0054,11807.46,2026-01-18 16:35:43,92
TX00035,WALLET_0422,WALLET_0424,2563.61,2026-01-24 17:56:29,176
TX00036,WALLET_0017,WALLET_0314,1299.83,2026-01-18 02:37:07,2
TX00037,WALLET_0050,WALLET_0433,2664.83,2025-12-30 12:57:15,152
